GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""06000""",California,8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1692324096,1722522394,1789998529,1850904494,1926842091,2002437419,2041192189,2061638773,1995439659,2036015045,2063827510,2113096440,2179228960,2256054739,2357452911,2427894598,2541769255,2643576256,2739343439,2663665940
" ""06000""",California,8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,80.087,81.517,84.71,87.592,91.186,94.763,96.597,97.565,94.432,96.352,97.668,100,103.13,106.765,111.564,114.897,120.286,125.104,129.636,126.055
" ""06000""",California,8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,1375761291,1418429562,1497918657,1588177383,1698560406,1812209985,1898902003,1944695344,1890165874,1954092678,2023500032,2113096440,2220389868,2335286492,2473555865,2569634021,2730973927,2895100990,3052645229,3007187685
" ""06001""","Alameda, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,81799434,82586379,85770014,86759897,88531458,91123342,92343105,92642910,88331445,91371069,93209610,95749481,98669945,102333785,109421599,112943702,119117078,123718310,126183638,121709013
" ""06001""","Alameda, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,85.431,86.253,89.578,90.611,92.462,95.168,96.442,96.756,92.253,95.427,97.347,100,103.05,106.877,114.279,117.958,124.405,129.21,131.785,127.112
" ""06001""","Alameda, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,67417419,69148785,72558587,74962982,78323178,82698824,85877056,87239620,85090729,88407850,91283763,95749481,100521444,105936777,115791781,121053460,129028899,136168877,141888634,139313240
" ""06003""","Alpine, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,77007,79634,81083,78131,79197,80164,87598,84430,81534,85967,96195,95294,91773,98299,100790,99622,99643,100131,104501,94421
" ""06003""","Alpine, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,80.809,83.567,85.086,81.989,83.108,84.123,91.924,88.6,85.56,90.212,100.945,100,96.305,103.153,105.767,104.542,104.563,105.075,109.661,99.083
" ""06003""","Alpine, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,58668,62172,64541,63844,67562,71016,80894,79975,78545,82770,93872,95294,93927,102705,108503,109263,110843,114055,121948,112415
" ""06005""","Amador, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1256091,1448926,1586696,1636165,1615188,1595595,1561085,1538746,1485666,1460247,1441492,1365613,1406048,1419857,1445500,1489618,1570431,1585410,1625096,1571455
" ""06005""","Amador, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,91.98,106.101,116.189,119.812,118.276,116.841,114.314,112.678,108.791,106.93,105.556,100,102.961,103.972,105.85,109.081,114.998,116.095,119.001,115.073
" ""06005""","Amador, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,943340,1105707,1237591,1327105,1357826,1397073,1416845,1427893,1424456,1412788,1415286,1365613,1440258,1488434,1551133,1617941,1732487,1786296,1870309,1848108
" ""06007""","Butte, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,6436131,6868645,7143910,7237914,7395227,7651114,7523603,7351131,7548295,7576197,7508928,7363012,7413059,7309623,7600549,8084983,8434322,8543593,8701260,8130900
" ""06007""","Butte, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,87.412,93.286,97.024,98.301,100.438,103.913,102.181,99.839,102.516,102.895,101.982,100,100.68,99.275,103.226,109.805,114.55,116.034,118.175,110.429
" ""06007""","Butte, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,4910485,5346345,5701177,5973287,6286905,6722921,6852071,6856654,7067534,7227185,7364104,7363012,7602095,7634930,8041364,8649007,9189787,9500527,9893227,9461454
" ""06009""","Calaveras, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1118369,1190691,1203472,1173038,1153564,1115192,1096762,1079245,1032893,1125485,1135901,1050964,1017875,1115450,1155026,1242125,1292735,1238320,1412753,1312022
