Entity Name,Fiscal Year,Total Expenditures,Estimated Population,Expenditures Per Capita
Adelanto,2021,20580944,36569,563
Adelanto,2020,26376314,35663,740
Adelanto,2019,30886709,35136,879
Adelanto,2018,20531571,35293,582
Adelanto,2017,16035685,34273,468
Adelanto,2016,23692799,33497,707
Adelanto,2015,15297952,33084,462
Adelanto,2014,13560072,32511,417
Adelanto,2013,16666849,31289,533
Adelanto,2012,16586669,31066,534
Adelanto,2011,15122010,31671,477
Adelanto,2010,26684100,28540,935
Adelanto,2009,26965056,28265,954
Adelanto,2008,30077948,28181,1067
Adelanto,2006,23692945,24880,952
Adelanto,2005,18413688,23418,786
Adelanto,2004,17138995,21271,806
Agoura Hills,2021,23435521,19975,1173
Agoura Hills,2020,25592324,20566,1244
Agoura Hills,2019,28060628,20842,1346
Agoura Hills,2018,21252345,20878,1018
Agoura Hills,2017,34873751,21018,1659
Agoura Hills,2016,31218079,21211,1472
Agoura Hills,2015,33356576,20767,1606
Agoura Hills,2014,23389616,20625,1134
Agoura Hills,2013,16062677,20516,783
Agoura Hills,2012,14904124,20413,730
Agoura Hills,2011,23604720,20393,1157
Agoura Hills,2010,18872878,23387,807
Agoura Hills,2009,16577904,23337,710
Agoura Hills,2008,16202371,23337,694
Agoura Hills,2007,22282873,23340,955
Agoura Hills,2006,12030491,23231,518
Agoura Hills,2005,12119543,23330,519
Agoura Hills,2004,12814774,22127,579
Agoura Hills,2003,10272541,21930,468
Alameda,2021,247186271,78262,3158
Alameda,2020,260518041,81312,3204
Alameda,2019,269368844,79316,3396
Alameda,2018,260064007,78863,3298
Alameda,2017,210490955,79928,2634
Alameda,2016,200513189,79277,2529
Alameda,2015,173564303,76638,2265
Alameda,2014,174814502,75988,2301
Alameda,2013,157177102,75126,2092
Alameda,2012,161933318,74640,2170
Alameda,2011,163489787,74081,2207
Alameda,2010,168176887,75409,2230
Alameda,2009,175518675,74683,2350
Alameda,2008,173234888,75823,2285
Alameda,2007,182449080,75254,2424
Alameda,2006,153433508,74405,2062
Alameda,2005,142779441,74581,1914
Alameda,2004,152888821,74409,2055
Alameda,2003,135872191,74940,1813
Albany,2021,34405634,20542,1675
Albany,2020,30682723,18937,1620
Albany,2019,30177242,19393,1556
Albany,2018,38289448,19053,2010
Albany,2017,29488185,18988,1553
Albany,2016,31910800,18893,1689
Albany,2015,24990215,18565,1346
Albany,2014,26862007,18472,1454
Albany,2013,26636685,18430,1445
Albany,2012,27669832,18488,1497
Albany,2011,26361987,18622,1416
Albany,2010,25462526,17021,1496
Albany,2009,35235308,16884,2087
Albany,2008,23678498,16877,1403
Albany,2007,21694843,16764,1294
Albany,2006,20385760,16680,1222
Albany,2005,21182759,16743,1265
Albany,2004,18336839,16722,1097
Albany,2003,17926109,16787,1068
Alhambra,2021,136952507,82182,1666
Alhambra,2020,137772968,86792,1587
Alhambra,2019,129347209,86931,1488
Alhambra,2018,132166829,86665,1525
Alhambra,2017,124484030,86922,1432
Alhambra,2016,108343335,86782,1248
Alhambra,2015,109917450,85545,1285
Alhambra,2014,103582948,84697,1223
Alhambra,2013,97183071,84240,1154
Alhambra,2012,98469597,83661,1177
Alhambra,2011,96058984,83450,1151
Alhambra,2010,95024160,89501,1062
Alhambra,2009,96627185,89171,1084
Alhambra,2008,93967566,89259,1053
Alhambra,2007,97292413,89488,1087
Alhambra,2006,81236907,89326,909
Alhambra,2005,80458365,90561,888
Alhambra,2004,72809109,89704,812
Alhambra,2003,69613978,88938,783
Aliso Viejo,2021,36414898,51233,711
Aliso Viejo,2020,34367924,50044,687
Aliso Viejo,2019,25881743,51372,504
Aliso Viejo,2018,22816036,51950,439
Aliso Viejo,2017,24682561,50312,491
Aliso Viejo,2016,19092520,50509,378
Aliso Viejo,2015,17530469,50204,349
Aliso Viejo,2014,25165840,49951,504
Aliso Viejo,2013,16884272,49477,341
Aliso Viejo,2012,19908190,48988,406
Aliso Viejo,2011,18959218,48320,392
Aliso Viejo,2010,22279082,46123,483
Aliso Viejo,2009,30460502,45683,667
Aliso Viejo,2008,18765616,45249,415
Aliso Viejo,2007,19925217,45037,442
Aliso Viejo,2006,12506901,44924,278
Aliso Viejo,2005,12427603,45017,276
Aliso Viejo,2004,10020069,44833,223
Aliso Viejo,2003,10039791,43879,229
Alturas,2021,4536670,2699,1681
Alturas,2020,4416927,2826,1563
Alturas,2019,5382306,2755,1954
Alturas,2018,4269675,2868,1489
Alturas,2017,5246954,2660,1973
Alturas,2016,4850095,2684,1807
Alturas,2015,3522264,2723,1294
Alturas,2014,3066887,2668,1150
Alturas,2013,4017811,2754,1459
Alturas,2012,3391407,2774,1223
Alturas,2011,3749765,2822,1329
Alturas,2010,3675805,2798,1314
Alturas,2009,3495870,2782,1257
Alturas,2008,5839504,2804,2083
Alturas,2007,3336191,2827,1180
Alturas,2006,3422701,2866,1194
Alturas,2005,3058658,2838,1078
Alturas,2004,2663567,2840,938
Alturas,2003,4343743,2812,1545
Amador,2021,435158,193,2255
Amador,2020,326941,166,1970
Amador,2019,299909,188,1595
Amador,2018,330534,186,1777
Amador,2017,322511,193,1671
Amador,2016,494142,190,2601
Amador,2015,500140,183,2733
Amador,2014,4322689,179,24149
Amador,2013,446789,182,2455
Amador,2012,568631,182,3124
Amador,2011,655874,186,3526
Amador,2010,555385,208,2670
Amador,2009,1204708,209,5764
Amador,2008,370102,208,1779
Amador,2007,331279,214,1548
Amador,2006,269665,213,1266
Amador,2005,422647,216,1957
Amador,2004,246974,208,1187
Amador,2003,189929,208,913
American Canyon,2021,52872214,21566,2452
American Canyon,2020,44154922,20837,2119
American Canyon,2019,42031783,20629,2038
American Canyon,2018,41211048,20990,1963
American Canyon,2017,37935623,20570,1844
American Canyon,2016,38108875,20374,1870
American Canyon,2015,31164817,20149,1547
American Canyon,2014,28563183,20001,1428
American Canyon,2013,28660321,19862,1443
American Canyon,2012,25618419,19809,1293
American Canyon,2011,28229767,19693,1433
American Canyon,2010,29632422,16836,1760
American Canyon,2009,34903898,16503,2115
American Canyon,2008,38979925,16293,2392
American Canyon,2007,46578635,16031,2906
American Canyon,2006,21725137,14961,1452
American Canyon,2005,19788553,14306,1383
American Canyon,2004,24433500,13156,1857
American Canyon,2003,17044624,12331,1382
Anaheim,2021,1353001378,344604,3926
Anaheim,2020,1494985018,357325,4184
Anaheim,2019,1382753742,359339,3848
Anaheim,2018,1298683997,357084,3637
Anaheim,2017,1270927028,358546,3545
Anaheim,2016,1184264881,358136,3307
Anaheim,2015,1360977806,351433,3873
Anaheim,2014,1269596926,348305,3645
Anaheim,2013,1135161368,346161,3279
Anaheim,2012,1012187742,343793,2944
Anaheim,2011,1025127637,341034,3006
Anaheim,2010,1021626885,353643,2889
Anaheim,2009,1015051731,348467,2913
Anaheim,2008,1105220480,346823,3187
Anaheim,2007,1263074423,345556,3655
Anaheim,2006,923150553,342410,2696
Anaheim,2005,791205470,345317,2291
Anaheim,2004,767375625,343046,2237
Anaheim,2003,757656831,337440,2245
Anderson,2021,20215431,11181,1808
Anderson,2020,18788564,10671,1761
Anderson,2019,17844645,10431,1711
Anderson,2018,15615608,10263,1522
Anderson,2017,13896451,10450,1330
Anderson,2016,11697540,10485,1116
Anderson,2015,10683256,10269,1040
Anderson,2014,12095427,10361,1167
Anderson,2013,12644398,10267,1232
Anderson,2012,10743690,10195,1054
Anderson,2011,14896905,10005,1489
Anderson,2010,11610770,10826,1072
Anderson,2009,12379337,10765,1150
Anderson,2008,13884322,10579,1312
Anderson,2007,13555591,10594,1280
Anderson,2006,10284898,10677,963
Anderson,2005,10196410,10441,977
Anderson,2004,12343135,10071,1226
Anderson,2003,8831867,9508,929
Angels,2021,10922517,3641,3000
Angels,2020,8866509,4123,2150
Angels,2019,8337488,3840,2171
Angels,2018,8967529,4121,2176
Angels,2017,8596630,4020,2138
Angels,2016,8326220,4045,2058
Angels,2015,8069491,3811,2117
Angels,2014,7904314,3726,2121
Angels,2013,7726466,3753,2059
Angels,2012,7365083,3752,1963
Angels,2011,9106632,3840,2372
Angels,2010,9251876,3549,2607
Angels,2009,8808919,3575,2464
Angels,2008,7271038,3593,2024
Angels,2007,7716733,3589,2150
Angels,2006,8294423,3576,2319
Angels,2005,11144788,3537,3151
Angels,2004,6079379,3441,1767
Angels,2003,3770109,3349,1126
Antioch,2021,140140406,115142,1217
Antioch,2020,141447334,112520,1257
Antioch,2019,123958987,113901,1088
Antioch,2018,112309848,113061,993
Antioch,2017,99521664,114241,871
Antioch,2016,87054086,112968,771
Antioch,2015,90322412,108298,834
Antioch,2014,92552322,106455,869
Antioch,2013,83434491,105117,794
