AGIC SortID,Taxable Year,AGIC,County,All Returns,All Joint Returns,All Taxable Returns,Dependents On Returns,Adjusted Gross Income,Tax Assessed
1,2019,Zero and Deficit,Alameda,6304,1670,98,2414,"-689,767,000","430,000"
2,2019,"1 to 2,999",Alameda,21577,1744,1957,2017,"32,426,000","40,000"
3,2019,"3,000 to 5,999",Alameda,22110,1536,4297,2657,"99,665,000","143,000"
4,2019,"6,000 to 8,999",Alameda,22880,1969,6078,3860,"171,874,000","338,000"
5,2019,"9,000 to 11,999",Alameda,23301,2336,5152,6064,"244,947,000","461,000"
6,2019,"12,000 to 14,999",Alameda,24706,2818,4185,9902,"332,292,000","554,000"
7,2019,"15,000 to 17,999",Alameda,22610,2994,8489,8185,"373,051,000","783,000"
8,2019,"18,000 to 20,999",Alameda,22654,3211,12815,8501,"442,206,000","1,372,000"
9,2019,"21,000 to 23,999",Alameda,20780,3610,12171,8152,"467,222,000","1,770,000"
10,2019,"24,000 to 26,999",Alameda,20734,3566,12757,8644,"528,389,000","2,545,000"
11,2019,"27,000 to 29,999",Alameda,20822,3543,13045,8840,"592,984,000","3,929,000"
12,2019,"30,000 to 34,999",Alameda,35178,6761,22453,16004,"1,140,929,000","9,609,000"
13,2019,"35,000 to 39,999",Alameda,33508,6521,22331,15141,"1,255,870,000","13,179,000"
14,2019,"40,000 to 49,999",Alameda,59700,12127,43865,28732,"2,682,753,000","40,198,000"
15,2019,"50,000 to 59,999",Alameda,51528,12015,42963,24657,"2,826,488,000","56,312,000"
16,2019,"60,000 to 69,999",Alameda,44990,13047,40794,23452,"2,915,427,000","70,782,000"
17,2019,"70,000 to 79,999",Alameda,37247,11949,35417,19899,"2,788,346,000","80,047,000"
18,2019,"80,000 to 89,999",Alameda,32238,12172,31460,18112,"2,738,006,000","87,678,000"
19,2019,"90,000 to 99,999",Alameda,27263,11481,26708,15958,"2,587,677,000","90,452,000"
20,2019,"100,000 to 149,999",Alameda,95547,50732,95095,62633,"11,734,877,000","495,552,000"
21,2019,"150,000 to 199,999",Alameda,56299,39094,56203,45397,"9,741,438,000","490,913,000"
