Field,Value
Title,"B-7, Adjusted Gross Income by County"
URL,b-7-adjusted-gross-income-by-county
Description,This dataset contains adjusted gross income class tax statistics for California personal income tax return data by county.
Tags,"agi,california-franchise-tax-board,income by county,personal income tax"
License,
Topic,
Organization,California Franchise Tax Board
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,FTB Open Data
Program Contact Email,no-reply@data.ftb.ca.gov
Author,
Homepage URL,
Frequency,Irregular
Temporal Coverage,
Granularity,
Geographic Coverage Location,
Spatial,
Data Standard,
Language,
Source Link,https://data.ftb.ca.gov/d/xf7k-ux8z
Additional Information,
Related Resources,
Secondary Sources,
Citation,
