Field,Value
Title,County Revenues Per Capita
URL,county-revenues-per-capita
Description,"Per capita values are calculated by dividing the estimated population into total revenues per county, per fiscal year."
Tags,california state controllers office
License,
Topic,
Organization,California State Controller's Office
Public Access Level,Public
Rights,No restrictions on public use
Program Contact Name,Matthew
Program Contact Email,no-reply@bythenumbers.sco.ca.gov
Author,
Homepage URL,
Frequency,Irregular
Temporal Coverage,
Granularity,
Geographic Coverage Location,
Spatial,
Data Standard,
Language,
Source Link,https://bythenumbers.sco.ca.gov/d/da2q-agh9
Additional Information,
Related Resources,
Secondary Sources,
Citation,
